iter	MAE
0	0.7053917317
1	0.7022884338
2	0.6980891575
3	0.6941950114
4	0.6912905735
5	0.6863249581
6	0.6831354114
7	0.6794324434
8	0.6757005559
9	0.6721069814
10	0.6681457023
11	0.6655071447
12	0.6630345374
13	0.6600269984
14	0.6572140134
15	0.6550880415
16	0.6519920474
17	0.6499346043
18	0.6463911889
19	0.6441532892
20	0.6403247298
21	0.6376863897
22	0.635078191
23	0.6325876625
24	0.6305061538
25	0.6294893908
26	0.6270938121
27	0.6251297225
28	0.6235617996
29	0.6222111397
30	0.6195359399
31	0.6158494123
32	0.6149273832
33	0.6133295183
34	0.6117878356
35	0.6094573134
36	0.6075152563
37	0.6066313393
38	0.6053197646
39	0.6033906308
40	0.6006538811
41	0.5986628263
42	0.5976819312
43	0.5965102788
44	0.5947008477
45	0.5930623482
46	0.590773827
47	0.5898447424
48	0.5888585837
49	0.5860171789
50	0.5844638026
51	0.5814568513
52	0.5788032688
53	0.5782296972
54	0.57785143
55	0.5769889915
56	0.5756659617
57	0.573995297
58	0.5733955261
59	0.5726782918
60	0.5717212956
61	0.5703632558
62	0.5693701905
63	0.5682078374
64	0.566693164
65	0.5654123085
66	0.5642374052
67	0.5628890602
68	0.5607722781
69	0.5588702558
70	0.558133286
71	0.5561092424
72	0.554844878
73	0.5531321156
74	0.5519063712
75	0.5496791098
76	0.5489439297
77	0.5479658731
78	0.5474929929
79	0.5467566226
80	0.5460092078
81	0.5445094614
82	0.5434760597
83	0.5425417029
84	0.5421563692
85	0.5412143934
86	0.5404725947
87	0.5387400215
88	0.53704102
89	0.5355229129
90	0.535098199
91	0.534629949
92	0.533518725
93	0.5320558072
94	0.5311642459
95	0.5300654467
96	0.5290725929
97	0.5280308323
98	0.5272312408
99	0.5258993826
100	0.525391875
101	0.5249761628
102	0.5240386369
103	0.5236499679
104	0.521925212
105	0.5211496457
106	0.5198234631
107	0.5188228478
108	0.5182696138
109	0.5173089373
110	0.5169112858
111	0.5163220435
112	0.5152769126
113	0.5145700536
114	0.5133073126
115	0.5124797153
116	0.5122079569
117	0.5108188885
118	0.509560462
119	0.5079673853
120	0.5074168009
121	0.5068731098
122	0.5059110278
123	0.5051617089
124	0.5043692195
125	0.5038431398
126	0.5025413455
127	0.500985876
128	0.4996745223
129	0.499091571
130	0.4986530158
131	0.4981647981
132	0.4975341684
133	0.4968660927
134	0.496453283
135	0.494651444
136	0.4937616969
137	0.4928157543
138	0.4925445739
139	0.4918919852
140	0.4907318489
141	0.4895880069
142	0.4890087283
143	0.4883191516
144	0.4879396165
145	0.4868958781
146	0.485493092
147	0.4843578713
148	0.4838382624
149	0.4820831926
150	0.4818794552
151	0.4804393661
152	0.4798575111
153	0.4792370227
154	0.4786343181
155	0.4780198287
156	0.4776794461
157	0.4767435387
158	0.475770483
159	0.4751643598
160	0.4739079906
161	0.4732244321
162	0.4725203204
163	0.4715279916
164	0.4705788014
165	0.4700958076
166	0.4699046632
167	0.4695555708
168	0.4687915444
169	0.4681094574
170	0.4670642996
171	0.4670053511
172	0.4654134241
173	0.4644016578
174	0.4631404477
175	0.4626696037
176	0.4622758767
177	0.4614191701
178	0.4605757283
179	0.4599922642
180	0.4588524932
181	0.4583985492
182	0.4576797341
183	0.4570548699
184	0.4562834053
185	0.4556924206
186	0.4552928553
187	0.4550399333
188	0.4543716267
189	0.4530153098
190	0.451681097
191	0.451126928
192	0.4508069609
193	0.4504503712
194	0.449347323
195	0.4491475064
196	0.4485102789
197	0.4479504696
198	0.4478726528
199	0.447544944
200	0.4461865799
201	0.4458369813
202	0.4453279296
203	0.4446913416
204	0.4439351519
205	0.443208171
206	0.4426927613
207	0.4420080981
208	0.4415498829
209	0.4405843905
210	0.4401940905
211	0.4392039473
212	0.4385602375
213	0.4379615306
214	0.4370513695
215	0.4357675556
216	0.4347245618
217	0.4341763923
218	0.4338032041
219	0.433153084
220	0.431659939
221	0.4312636603
222	0.4306500874
223	0.4297350156
224	0.4285446236
225	0.4280224146
226	0.4272395493
227	0.4267396306
228	0.4261428881
229	0.4257862717
230	0.4253659699
231	0.4240324265
232	0.4232390788
233	0.4224907459
234	0.4218796216
235	0.4210620182
236	0.4203887014
237	0.419496612
238	0.4182346461
239	0.4173878704
240	0.4167521337
241	0.4159627165
242	0.4150756807
243	0.4141049042
244	0.4134307894
245	0.4125148401
246	0.4117011126
247	0.4113922069
248	0.4104302798
249	0.4090433443
250	0.4085054127
251	0.408330249
252	0.4073951942
253	0.4061596595
254	0.4047965312
255	0.4046129149
256	0.4039906169
257	0.4036666501
258	0.4024681479
259	0.4021965582
260	0.4013242268
261	0.4008294991
262	0.4003165251
263	0.3989672563
264	0.3979178359
265	0.3968162698
266	0.3956014188
267	0.3948663536
268	0.3942438639
269	0.3936903306
270	0.3922573135
271	0.3914076335
272	0.3902937198
273	0.3896746098
274	0.3886104458
275	0.3879910274
276	0.3874909452
277	0.387094615
278	0.3862904005
279	0.3854745939
280	0.385112677
281	0.3849232484
282	0.3842829966
283	0.3838333645
284	0.3830030612
285	0.3822301094
286	0.3819395061
287	0.3815856658
288	0.3807488178
289	0.3798606668
290	0.3793264345
291	0.3788200296
292	0.3786349067
293	0.3774383038
294	0.3768309414
295	0.3762357918
296	0.3751183299
297	0.3738843887
298	0.3736908616
299	0.3723011163
